route,n_trees,duration_sec,service_total_sec,travel_sec,walk_ratio,shortfall_sec,saturation,self_crossings
1,9,9396,1080,8316,0.885,0,0.87,0
2,47,9489,5640,3849,0.406,0,0.879,6
3,67,10354,8040,2314,0.223,0,0.959,6
4,63,10709,7560,3149,0.294,0,0.992,3
5,57,10670,6840,3830,0.359,0,0.988,6
6,64,10620,7680,2940,0.277,0,0.983,3
7,55,9262,6600,2662,0.287,0,0.858,2
8,72,10658,8640,2018,0.189,0,0.987,3
9,66,10607,7920,2687,0.253,0,0.982,2
10,68,10659,8160,2499,0.234,0,0.987,6
11,59,9038,7080,1958,0.217,0,0.837,1
12,71,9705,8520,1185,0.122,0,0.899,2
13,75,10492,9000,1492,0.142,0,0.971,3
14,72,10036,8640,1396,0.139,0,0.929,1
15,61,10730,7320,3410,0.318,0,0.994,1
16,71,10136,8520,1616,0.159,0,0.939,1
17,71,9841,8520,1321,0.134,0,0.911,1
18,70,9734,8400,1334,0.137,0,0.901,2
19,73,10077,8760,1317,0.131,0,0.933,13
20,73,10254,8760,1494,0.146,0,0.949,1
21,66,9760,7920,1840,0.189,0,0.904,7
22,68,9373,8160,1213,0.129,0,0.868,6
23,73,10447,8760,1687,0.161,0,0.967,1
24,64,9307,7680,1627,0.175,0,0.862,4
25,72,10163,8640,1523,0.15,0,0.941,2
summary,1607,251517,192840,58677,0.233,0,0.932,83
